feature_mode,model,probability_type,threshold,roc_auc,pr_auc,f1,precision_ppv,recall_sensitivity,specificity,npv,brier,balanced_accuracy,calibration_slope,calibration_intercept,n_test,n_positive,roc_auc_ci_low,roc_auc_ci_high,pr_auc_ci_low,pr_auc_ci_high,f1_ci_low,f1_ci_high,precision_ppv_ci_low,precision_ppv_ci_high,recall_sensitivity_ci_low,recall_sensitivity_ci_high,specificity_ci_low,specificity_ci_high,npv_ci_low,npv_ci_high,brier_ci_low,brier_ci_high
clinical_history_only,loop_gaussian_nb,uncalibrated,0.06,0.5592745874381677,0.10674140371772683,0.16642636457260557,0.11585890450243763,0.2953216374269006,0.8077690485097893,0.930742151016596,0.12385656741479811,0.5515453429683449,0.006544809116156588,0.10222588338272892,17406,1368,0.5427161048111204,0.576731712358748,0.09685477102319504,0.1163232753886362,0.15430442866528365,0.18274160731518477,0.10726934732761999,0.14342554688920928,0.21169630988845864,0.3139874566633599,0.7977124451682698,0.8785074653666208,0.9274853265180292,0.934126353627376,0.12003873497463147,0.12849151454195512
demographics_history_lifestyle,loop_gaussian_nb,uncalibrated,0.05,0.6452968014926538,0.13245149406684598,0.20316622691292877,0.12395363811976819,0.5628654970760234,0.6606808829031051,0.9465785242093979,0.1114266033416575,0.6117731899895642,0.012712107897437899,0.1227838285597362,17406,1368,0.6328779289033403,0.6643524163283482,0.12370860793301242,0.14525708023448494,0.19091767637773085,0.21734243853236787,0.11504187164016712,0.1441454967506286,0.36973172659174447,0.5881553656848593,0.656749777426667,0.8409348305502852,0.9371811712692558,0.9490567597113784,0.107417848684354,0.11506481908476522
lab_only,loop_gaussian_nb,uncalibrated,0.09,0.649782652530649,0.158546446027085,0.23749246534056662,0.20205128205128206,0.2880116959064328,0.90298042149894,0.9369824016563147,0.1085078843063911,0.5954960587026864,0.011931043782516026,0.13885123571091987,17406,1368,0.6355764470517984,0.6647528911649633,0.14555755705741152,0.17442910718495075,0.21668256014504272,0.2580075363027911,0.19006851355376825,0.2310805834978533,0.23625884925824053,0.31868261740042964,0.8856921070899123,0.9113172381624413,0.9330997271849089,0.9411761119670728,0.10380795401308866,0.112986424240673
strict,loop_gaussian_nb,uncalibrated,0.26,0.6549275970301528,0.15043994654292775,0.2278538812785388,0.16567065073041168,0.364766081871345,0.8433096396059359,0.9396276226205363,0.18139905093534825,0.6040378607386404,0.0049317286263686946,0.12108607890267478,17406,1368,0.6360263840987836,0.6708628113865528,0.13813197166183894,0.16267335030668004,0.2135590225467833,0.24518930687755108,0.1514316138801182,0.18206577620147724,0.3090859301452749,0.39136177136389355,0.8309499775611574,0.8752793108518685,0.9355206276584834,0.9431323858691812,0.17584790692349678,0.18757294841753638
without_lab_only,loop_gaussian_nb,uncalibrated,0.08,0.6445827171068129,0.14492044530658388,0.2267357512953368,0.15822967891235176,0.39985380116959063,0.8185559296670408,0.9411427342461826,0.18422563712230985,0.6092048654183158,0.004832585189353285,0.1174497793329235,17406,1368,0.6290418517228326,0.6615079536519846,0.13385849714510764,0.15608929553931167,0.20976502847019043,0.2421231434419877,0.14971198156682028,0.17972172269357295,0.3207139894761398,0.4239178509099975,0.8115841087072921,0.8716092806523495,0.9361775441272608,0.9452794850533991,0.17920706116832538,0.1897625676419098
