feature_mode,model,probability_type,roc_auc_mean,roc_auc_sd,roc_auc_ci_low,roc_auc_ci_high,pr_auc_mean,pr_auc_sd,pr_auc_ci_low,pr_auc_ci_high,f1_mean,f1_sd,f1_ci_low,f1_ci_high,precision_ppv_mean,precision_ppv_sd,precision_ppv_ci_low,precision_ppv_ci_high,recall_sensitivity_mean,recall_sensitivity_sd,recall_sensitivity_ci_low,recall_sensitivity_ci_high,specificity_mean,specificity_sd,specificity_ci_low,specificity_ci_high,npv_mean,npv_sd,npv_ci_low,npv_ci_high,brier_mean,brier_sd,brier_ci_low,brier_ci_high,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci_low,balanced_accuracy_ci_high,calibration_slope_mean,calibration_slope_sd,calibration_slope_ci_low,calibration_slope_ci_high,calibration_intercept_mean,calibration_intercept_sd,calibration_intercept_ci_low,calibration_intercept_ci_high,n_folds
clinical_history_only,loop_gaussian_nb,uncalibrated,0.5717562934863848,0.03434525581639386,0.5583421901240487,0.5861973873283428,0.11508144783711098,0.017325571512895568,0.10620741846155747,0.12366247658917554,0.16465775329737858,0.02580748867525143,0.15304113587842302,0.17695078304797057,0.1255635043073806,0.020338803259199165,0.11584924568825873,0.13566838421005378,0.25519987259117694,0.07911331224585595,0.2211518553909859,0.29122750437967826,0.8452327706040234,0.05484072583535944,0.8223627870108904,0.8690404751288799,0.930222389436108,0.003966030327243388,0.9280876640038833,0.9318151129354312,0.12385862504709019,0.016706918893890914,0.11691539143721226,0.1326421188727534,0.5502163215976001,0.020588762358282768,0.5389722764562371,0.5592996670309663,0.007564287436001111,0.0037867925730412015,0.006159582563861264,0.009436100318338027,0.1051153234263131,0.014927253592763102,0.09860131910431193,0.11124548934943126,15
demographics_history_lifestyle,loop_gaussian_nb,uncalibrated,0.6462586470828023,0.014782969570232266,0.6401029940556858,0.6525417467213253,0.13937049979040494,0.016702469215186522,0.13083234669435742,0.1466377100580397,0.19663484098073924,0.03367821805294913,0.17813073384427117,0.21171580251074568,0.13342286956277877,0.018579321109644272,0.1252749294171238,0.14157698460184576,0.4073976747889791,0.1363225518893269,0.3430966316292403,0.4739106545628284,0.7748470198077221,0.07846668430117124,0.7464486695283973,0.8115449717178252,0.9394278761729663,0.007607922641387389,0.9350942909323916,0.9430710394888174,0.11142649155622916,0.011316233559856234,0.1059314104054085,0.11581716979908331,0.5911223472983506,0.03327228329022694,0.5775024483722057,0.6066758068654482,0.012984114385867643,0.0028349719054949476,0.011446338186787227,0.014255617860595156,0.12377232915466427,0.010337635334531076,0.1184208868178022,0.12891406727574153,15
lab_only,loop_gaussian_nb,uncalibrated,0.6551935580249799,0.022166909564634022,0.6450396859737947,0.6656336744739574,0.16499975051074725,0.023896843883773448,0.15487499669326796,0.17987088520759523,0.22619896741610424,0.04500158554317403,0.20606351157554437,0.24630453271581837,0.2134300670026352,0.037989206882926584,0.19357350671924553,0.23113594655313385,0.2543956043956044,0.07408915268616961,0.22658166109253064,0.28814202102245573,0.9180096692690346,0.028372052831468573,0.903090653039933,0.930722624865583,0.9353076213839611,0.004722325535606021,0.9332542461950329,0.9376492545554511,0.10850688611130345,0.007040083138183327,0.10586225077380979,0.1116527163775192,0.5862026368323195,0.027534918585839306,0.5713035524865366,0.5986881326398551,0.012161800750426924,0.002878618259756396,0.011121650939071836,0.013261899263076455,0.1392679687219984,0.011409827419161684,0.13520566333929296,0.14457530933992893,15
strict,loop_gaussian_nb,uncalibrated,0.6678177966404648,0.019795659104837722,0.656757523382858,0.6764127218004446,0.15567384362850067,0.016007240085613137,0.14668021607070697,0.16298209193918264,0.22169836140364352,0.03127140680243878,0.20551983682558408,0.2333186346499445,0.16672863007349956,0.026453969803827283,0.15477321256544138,0.17718594340275787,0.3444656792482879,0.08336135067272805,0.30521480331262946,0.38685758082497207,0.8505353068200694,0.04018306600064619,0.8283246942290375,0.8717489632783426,0.9384677343390594,0.0058185101645661505,0.9354675317826635,0.9414632742786232,0.18140221842309362,0.023299890279661103,0.1721513011100473,0.19293120516093756,0.5975004930341787,0.029362661640520985,0.5861813469968193,0.6099575937074005,0.005043485771116701,0.0010482029162369715,0.004529707845637326,0.005477382761502622,0.12223528332811161,0.011885865619732008,0.11609460893614487,0.12877628791021528,15
without_lab_only,loop_gaussian_nb,uncalibrated,0.6609677511182486,0.019435187452165815,0.6522864957550343,0.6710964964349599,0.15092474830797567,0.015419277655080794,0.14334564467021557,0.15850768433668017,0.22546466490867034,0.0292700830339177,0.2094066812050154,0.23795436043248894,0.1657982805661479,0.02233282574266633,0.15511374706460265,0.17586333000666968,0.369326325848065,0.09669266166788218,0.329994027711419,0.41633142220098746,0.8396233123220523,0.04198933439648031,0.820999915488607,0.8601409824886564,0.9400314683826319,0.006852342973407744,0.9368640222095035,0.9432253316256757,0.18423030258088527,0.028754804116275175,0.16854937040307288,0.1978426606884468,0.6044748190850587,0.03291664195625637,0.5895634923484595,0.6179800956674344,0.005026370053678595,0.0010326785676380845,0.004428484328993943,0.0054489485174594576,0.11909246980187656,0.012641978075702848,0.11276626767985287,0.12440118901061152,15
